event_id,event_date,year,reports_count,ra_deg,dec_deg,azimuth,entry_angle,distance_km,start_lat,start_long,end_lat,end_long,start_alt_m,end_alt_m
64347,2022-03-23,2022,57,231.86,40.3,47.74,18.94,132.9,52.996484469704,-102.61323256555,52.201286670861,-104.0840530449,80000.0,34398.572822444
64366,2022-03-24,2022,110,101.97,39.83,242.98,69.81,17.12,51.701506379015,-97.9354363826,51.771708470687,-97.714019961522,80000.0,33437.166649039
73092,2023-01-02,2023,27,78.41,34.18,68.01,30.06,73.18,37.85733,-79.84944,37.6133,-80.62285,80000.0,37650.47586
73125,2023-01-04,2023,28,245.67,27.46,82.08,36.84,53.31,38.67562,-83.30636,38.61108,-83.91503,80000.0,40051.92304
73138,2023-01-05,2023,72,106.15,51.16,50.86,36.28,59.26,45.78532,12.61456,45.45026,12.02141,80000.0,36507.89849
73214,2023-01-09,2023,56,23.9,-2.54,166.86,45.65,40.6,40.79802,-71.30042,41.15387,-71.4101,80000.0,38465.58083
73234,2023-01-11,2023,219,348.92,5.09,239.18,47.96,33.53,31.031707479505,-97.948902391632,31.186694071871,-97.64647159089,80000.0,42808.689842942
73248,2023-01-11,2023,44,71.6,47.02,318.93,9.3,147.94,29.0,-85.0,28.0,-84.0,80000.0,55783.0
73279,2023-01-13,2023,29,132.27,11.54,90.21,21.32,92.86,33.72199,-84.76794,33.72915,-85.77268,80000.0,43763.68987
73359,2023-01-16,2023,26,106.67,-14.61,53.3,59.47,29.56,-35.33374,174.17273,-35.49302,173.9113,80000.0,29877.70854
73442,2023-01-20,2023,35,315.7,1.7,260.73,10.2,208.62,49.32238,-122.83925,49.65984,-119.99597,80000.0,42475.19532
73458,2023-01-20,2023,46,181.31,-3.13,224.11,28.31,67.2,48.58518,-2.62455,49.02113,-1.98822,80000.0,43795.55151
73446,2023-01-20,2023,131,155.31,76.29,355.29,49.29,39.16,36.229050334671,-95.44023932996,35.877891212061,-95.404374697126,80000.0,34499.157821942
73478,2023-01-21,2023,98,166.03,36.86,268.1,49.28,40.45,53.720717299982,-4.603279537608,53.734355003594,-3.98839793543,80000.0,33006.017341624
73495,2023-01-21,2023,26,87.38,-23.71,200.46,10.77,81.62,52.57189,-0.62615,53.26076,-0.20368,80000.0,64476.36376
73548,2023-01-24,2023,216,293.31,25.16,89.61,32.44,68.41,52.0,-1.0,52.0,-2.0,80000.0,36520.0
73594,2023-01-26,2023,38,232.27,60.99,0.0,24.94,111.13,55.0,-7.0,54.0,-7.0,80000.0,28318.0
73629,2023-01-28,2023,68,132.91,21.16,147.88,64.6,23.55,43.406721825141,-73.715312805502,43.586328665168,-73.870414234354,80000.0,30391.016426897
73690,2023-01-31,2023,38,109.06,57.26,302.84,76.44,12.02,51.653200393132,-1.075553929408,51.594640020298,-0.929073889087,80000.0,30176.860995427
73761,2023-02-02,2023,28,221.9,-39.73,180.0,8.28,222.25,40.0,-78.0,42.0,-78.0,80000.0,47646.0
73767,2023-02-02,2023,27,108.5,3.91,104.47,21.97,58.04,40.512719288898,-74.758666042845,40.645090678883,-75.423853374331,80000.0,56590.690856359
73848,2023-02-07,2023,123,127.79,14.44,89.72,25.94,92.13,34.0,-91.0,34.0,-92.0,80000.0,35177.0
73899,2023-02-07,2023,51,97.5,11.72,174.24,49.87,33.4,51.426140050331,7.099755390648,51.725155684214,7.051401324719,80000.0,40379.055689818
73928,2023-02-08,2023,30,144.77,24.32,79.85,22.77,69.18,55.295274563419,5.712526777208,55.190269504503,4.636139235413,80000.0,50958.88293539
73977,2023-02-10,2023,42,22.64,0.22,215.52,37.46,50.35,46.761753594123,14.062768023196,47.131209726551,14.447040938668,80000.0,41422.214736858
74028,2023-02-13,2023,84,120.82,37.59,282.12,41.55,53.18,50.136830514599,0.206117977183,50.038602680766,0.936127224317,80000.0,32873.645820838
74102,2023-02-14,2023,34,140.25,49.39,55.31,41.75,43.63,41.407553612129,16.801779479988,41.184869250779,16.371317606542,80000.0,41048.846795593
74188,2023-02-19,2023,53,36.3,34.07,291.29,59.53,37.68,27.66186,-83.31613,27.53917,-82.95939,80000.0,15948.59261
74226,2023-02-19,2023,41,156.39,37.02,60.4,23.2,88.32,39.2463,-75.23508,38.85704,-76.12744,80000.0,42143.19345
74230,2023-02-20,2023,210,163.63,20.58,86.62,27.09,84.67,43.1978,-84.1502,43.15765,-85.1936,80000.0,36694.18658
74276,2023-02-22,2023,29,160.36,19.82,281.7,18.41,148.35,34.77873,-116.59509,34.51843,-115.0034,80000.0,30625.04866
74274,2023-02-23,2023,26,341.69,60.26,329.13,19.9,95.74,30.54385,-96.8227,29.8053,-96.30942,80000.0,45336.36533
74355,2023-02-26,2023,27,6.99,8.23,270.62,12.93,175.13,38.0,-87.0,38.0,-85.0,80000.0,39792.0
74369,2023-02-26,2023,33,306.07,55.77,350.57,20.95,97.25,55.177481498379,12.615306528357,54.314371879562,12.866302729068,80000.0,42758.872427093
74424,2023-02-28,2023,278,152.64,-17.9,180.0,22.02,111.13,49.0,3.0,50.0,3.0,80000.0,35059.0
74426,2023-03-01,2023,29,136.74,3.19,113.52,34.68,59.13,34.49139,-80.17315,34.70512,-80.76508,80000.0,39088.72421
74482,2023-03-02,2023,27,263.54,54.79,44.12,38.76,51.39,35.10276,-121.30654,34.77143,-121.70001,80000.0,38750.30635
74548,2023-03-06,2023,25,94.43,26.39,256.55,52.0,37.47,43.916459169474,4.821835807412,43.995771639916,5.277096971491,80000.0,32032.648836008
74553,2023-03-07,2023,107,156.2,0.26,148.14,40.11,54.18,44.997678306434,-78.082054194308,45.412375395931,-78.445984392696,80000.0,34355.888808426
74586,2023-03-09,2023,53,237.15,66.97,22.53,29.19,73.03,44.31891753954,-77.357125501619,43.712437179995,-77.709035139957,80000.0,39196.424071468
74585,2023-03-09,2023,61,8.79,3.0,264.15,14.02,130.1,34.23594,-111.47607,34.36336,-110.06733,80000.0,47508.82574
74641,2023-03-12,2023,105,9.43,70.06,336.26,34.51,59.95,41.56888,-73.67287,41.07544,-73.38262,80000.0,38788.03497
74740,2023-03-18,2023,63,18.24,38.19,309.22,12.87,187.83,39.70251,-121.65847,38.64598,-119.95647,80000.0,37080.73998
81611,2024-01-02,2024,112,80.7,13.88,92.15,21.43,91.54,46.43781870514,-0.54807104285,46.474948854671,-1.742549582871,80000.0,44075.248378249
81630,2024-01-03,2024,47,97.84,-18.35,180.0,19.68,111.13,51.0,-3.0,52.0,-3.0,80000.0,40256.0
81706,2024-01-04,2024,86,75.34,13.15,89.7,21.92,88.75,37.0,-86.0,37.0,-87.0,80000.0,44295.0
81750,2024-01-06,2024,75,76.93,14.62,91.48,20.33,96.67,50.655843383822,4.107479616166,50.686400272743,2.735647102754,80000.0,44182.225534628
81798,2024-01-09,2024,63,124.2,45.54,56.86,33.45,69.48,45.978067368909,0.473734696444,45.638680571198,-0.279647425387,80000.0,34100.449258124
81802,2024-01-09,2024,81,67.91,30.66,212.76,68.19,18.14,49.889328052595,4.271590597297,50.026683881457,4.40868959438,80000.0,34664.332122911
81836,2024-01-11,2024,80,88.31,61.86,43.41,51.63,28.09,47.445596379218,-1.791061756158,47.262292749402,-2.047899927197,80000.0,44527.28561212
81931,2024-01-16,2024,524,129.25,28.17,290.84,19.35,111.49,42.547826024657,0.340212477401,42.197916112789,1.613056604017,80000.0,40856.04888543
81968,2024-01-17,2024,45,128.41,21.19,84.02,22.7,92.05,51.139203707807,-4.537603322165,51.060287841521,-5.850727969084,80000.0,41485.549417772
81972,2024-01-18,2024,60,129.02,37.1,62.07,25.44,70.9,43.516489934083,-82.528779310851,43.220305891983,-83.306187839726,80000.0,46276.424755414
81993,2024-01-18,2024,113,316.38,23.53,270.39,30.29,68.41,52.0,-4.0,52.0,-3.0,80000.0,40034.0
82052,2024-01-20,2024,28,63.83,-18.26,156.64,23.41,56.22,44.73170256566,-3.168592529356,45.196514286772,-3.45102384402,80000.0,55655.070232301
82034,2024-01-21,2024,37,111.21,35.94,243.25,63.16,23.46,52.582104319251,12.308016874116,52.677545015245,12.618256528783,80000.0,33631.271716927
82072,2024-01-21,2024,27,355.31,-42.1,244.33,42.37,45.39,-38.46795529385,175.76430096867,-38.291927619336,176.23449981244,80000.0,38593.764242583
82121,2024-01-25,2024,46,324.59,42.42,274.8,54.45,25.46,52.627212758135,0.418161863473,52.608638724318,0.794283274874,80000.0,44368.201303655
82144,2024-01-27,2024,401,97.81,17.06,89.63,22.93,74.36,48.0,11.0,48.0,10.0,80000.0,48552.0
82261,2024-02-01,2024,41,119.32,-11.82,195.55,41.42,47.61,34.979928218021,-84.629867992778,35.392746372054,-84.489652723206,80000.0,37995.556159426
82276,2024-02-01,2024,65,143.48,15.96,89.65,22.41,78.58,45.0,8.0,45.0,7.0,80000.0,47598.0
82290,2024-02-03,2024,36,150.53,25.43,74.76,27.51,77.72,29.157365927691,-80.214831894195,28.975708765917,-80.987582921771,80000.0,39520.346032742
82339,2024-02-04,2024,141,184.18,19.37,89.65,27.45,78.58,45.0,6.0,45.0,5.0,80000.0,39186.0
82359,2024-02-06,2024,27,59.57,35.36,283.57,45.78,42.75,39.30444596166,-75.792029637817,39.215176923317,-75.308690654825,80000.0,36065.335107089
82413,2024-02-09,2024,41,130.22,25.77,81.12,34.87,73.83,35.375083126086,-95.890929431358,35.275136373162,-96.695956835873,80000.0,28552.658202271
82432,2024-02-10,2024,30,89.99,22.3,244.25,53.36,38.39,44.51065577544,-80.589060012701,44.661565465163,-80.152715447897,80000.0,28376.556570682
82492,2024-02-14,2024,47,50.36,6.94,206.34,62.49,22.94,32.026676782589,-94.776094094159,32.211707520674,-94.668068104231,80000.0,35962.341299161
82604,2024-02-19,2024,112,43.49,8.78,198.41,44.04,33.22,53.309866920233,1.221069842312,53.593628442768,1.37906596953,80000.0,47875.775721352
82619,2024-02-21,2024,433,2.39,17.08,270.32,27.06,85.13,40.0,-78.0,40.0,-77.0,80000.0,36505.0
82677,2024-02-23,2024,34,68.77,63.58,337.84,55.62,30.79,34.384526700077,-118.73551583817,34.127955142871,-118.60883863327,80000.0,34987.327336704
82787,2024-02-28,2024,47,182.64,36.07,67.7,30.16,64.93,45.113195562805,2.540502175647,44.89399489467,1.774482244754,80000.0,42266.466057334
82843,2024-03-02,2024,90,112.39,21.22,134.04,51.14,32.58,52.934398690946,3.213135128465,53.138751305955,2.8634734409,80000.0,39569.434972932
82850,2024-03-03,2024,64,17.72,15.58,276.42,19.08,104.53,34.327379963073,-87.762643558904,34.227470121277,-86.630674608276,80000.0,43849.290044222
82865,2024-03-04,2024,38,73.86,0.47,210.11,43.71,26.29,42.500111226792,-86.379773860017,42.704873284671,-86.218833992414,80000.0,54868.145623529
82944,2024-03-08,2024,270,265.46,51.38,34.5,21.94,101.08,50.103530387733,9.686251307029,49.356686670371,8.882968420864,80000.0,39283.988410104
82967,2024-03-09,2024,26,149.05,-22.3,180.0,21.62,111.13,45.0,0.0,46.0,0.0,80000.0,35960.0
83015,2024-03-12,2024,196,319.61,-7.91,127.98,16.28,114.47,52.058810987431,13.764639689332,52.700189627013,12.44401770551,80000.0,46575.760467896
83109,2024-03-17,2024,25,284.28,46.66,36.82,10.71,279.95,41.0,-88.0,39.0,-90.0,80000.0,27063.0
83161,2024-03-19,2024,66,198.44,-9.91,239.37,15.92,116.05,42.20995107982,-74.898804296423,42.748409707531,-73.68548538028,80000.0,46902.483351021
83227,2024-03-23,2024,35,246.74,66.24,23.85,31.6,67.64,47.429132608397,8.288461861771,46.873005586972,7.924631756224,80000.0,38394.5968446
90066,2025-01-01,2025,25,115.34,7.67,89.53,15.56,196.23,28.0,-81.0,28.0,-83.0,80000.0,25345.0
90065,2025-01-01,2025,36,309.13,64.11,331.28,26.24,92.4,33.857387240884,-79.894542026231,33.129141081228,-79.413420107968,80000.0,34445.451467983
90160,2025-01-03,2025,32,213.23,46.72,14.57,10.82,200.49,54.255204604312,3.869423307332,52.511536282179,3.092398860968,80000.0,41699.732692572
90234,2025-01-07,2025,41,98.57,12.89,167.93,49.12,36.75,52.935807284744,-3.816319581144,53.259286512771,-3.93102508553,80000.0,37541.527509304
90385,2025-01-15,2025,81,100.4,43.94,59.39,34.27,58.61,44.199825477888,-71.460649612284,43.932989361557,-72.093808141676,80000.0,40060.692505108
90439,2025-01-18,2025,44,136.02,9.01,97.11,17.99,82.13,48.82448653836,-123.17716511797,48.921380190819,-124.29109628717,80000.0,53325.387013211
90470,2025-01-18,2025,72,302.38,17.58,270.33,26.61,82.58,42.0,-87.0,42.0,-86.0,80000.0,38628.0
90697,2025-01-29,2025,72,112.56,-2.42,126.32,31.54,73.41,40.215092061529,-79.903574237891,40.608481803275,-80.600613055972,80000.0,34941.721043745
90700,2025-01-29,2025,71,355.46,10.34,278.56,6.32,229.44,43.122209372822,-89.621169199392,42.848709704462,-86.823490912279,80000.0,54573.931849154
90702,2025-01-29,2025,30,70.55,-5.8,244.45,18.37,106.72,40.857331893908,-82.656823578325,41.277222118932,-81.511216045101,80000.0,44564.238229926
90773,2025-01-31,2025,59,114.87,-13.46,40.0,52.47,45.88,-44.882960985026,168.91151998807,-45.199856180149,168.53702721605,80000.0,20273.346740061
90785,2025-02-01,2025,30,135.52,15.18,90.2,34.44,52.21,27.689117138668,-82.275300792869,27.691728830393,-82.805888428693,80000.0,44204.406598007
91009,2025-02-10,2025,36,119.21,35.04,93.32,48.5,37.85,52.787400578165,13.028674184939,52.808479373303,12.466357076487,80000.0,37219.98350692
91080,2025-02-16,2025,45,159.19,22.59,79.58,20.31,93.11,55.950065481872,-112.97588562983,55.807221573905,-114.44777684813,80000.0,45535.34704492
91084,2025-02-16,2025,38,167.73,-17.18,194.26,38.21,74.72,32.619424607596,-115.25093877065,33.271289969216,-115.05426020924,80000.0,21179.638046355
91124,2025-02-18,2025,29,123.3,-11.39,146.22,34.04,64.5,37.495100031727,-122.3912183844,37.978258652141,-122.79791919191,80000.0,36432.236863888
91140,2025-02-18,2025,36,255.95,73.86,1.32,35.38,55.2,52.001802894737,6.527307545521,51.505156120994,6.508745845997,80000.0,40801.394589714
91151,2025-02-19,2025,325,126.3,11.05,277.96,7.86,328.47,53.312604881962,7.721200558698,53.003275384331,12.624679711806,80000.0,34677.568402141
91211,2025-02-22,2025,28,164.75,40.51,57.09,24.87,67.15,40.365264529319,-83.666894034677,40.038820709106,-84.332651513451,80000.0,48868.304153347
91281,2025-02-24,2025,76,189.84,50.23,35.15,17.22,136.49,45.0,-95.0,44.0,-96.0,80000.0,37686.0
91288,2025-02-24,2025,25,136.31,-8.62,138.26,33.66,53.71,37.428619464899,-96.171216058916,37.789947081306,-96.576409875053,80000.0,44239.754599408
91409,2025-03-01,2025,25,149.03,-11.86,113.44,10.25,104.15,36.455940135381,-85.690191368377,36.83354075413,-86.759364780089,80000.0,61166.84366646
